extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
25,8,22,0.746,0.3478,0.0856,55,63,0.254,0.3478,0.2936,0.0,1,87.8664,edge
25,7,32,0.8906,0.1522,0.1038,64,64,0.1094,0.1522,0.1273,0.0,2,85.0056,edge
27,10,29,0.8889,0.1522,0.102,66,63,0.1111,0.1522,0.1284,0.0,3,83.8014,edge
26,8,23,0.7656,0.3261,0.0893,57,64,0.2344,0.3261,0.2727,0.0,4,85.8084,edge
25,8,23,0.7619,0.3261,0.0874,56,63,0.2381,0.3261,0.2752,0.0,5,87.1171,edge
28,9,19,0.7231,0.3913,0.0856,56,65,0.2769,0.3913,0.3243,0.0,6,89.4243,edge
24,6,30,0.8438,0.2174,0.0984,60,64,0.1562,0.2174,0.1818,0.0,7,86.6084,edge
26,9,25,0.8095,0.2609,0.0929,60,63,0.1905,0.2609,0.2202,0.0,8,85.8915,edge
28,10,30,0.9062,0.1304,0.1056,68,64,0.0938,0.1304,0.1091,0.0,9,85.1884,edge
25,9,26,0.8226,0.2391,0.0929,60,62,0.1774,0.2391,0.2037,0.0,10,86.3068,edge
28,9,33,0.9385,0.087,0.1111,70,65,0.0615,0.087,0.0721,0.0,11,86.9762,edge
24,8,25,0.7903,0.2826,0.0893,57,62,0.2097,0.2826,0.2407,0.0,12,87.5928,edge
