exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
asia,0,0
asia,0,2
asia,0,0
asia,0,0
asia,1,3
asia,1,3
asia,1,6
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,0,1
child,1,1
child,1,1
child,2,3
child,0,0
child,0,0
child,1,2
child,1,2
child,1,2
child,1,2
child,1,2
child,1,3
insurance,1,17
insurance,1,18
insurance,2,21
insurance,1,21
insurance,0,11
insurance,2,25
insurance,1,24
insurance,1,34
insurance,2,56
insurance,1,29
insurance,1,43
insurance,1,25
alarm,0,4
alarm,0,3
alarm,0,3
alarm,0,2
alarm,0,0
alarm,0,0
alarm,0,2
alarm,0,1
alarm,1,1
alarm,0,0
alarm,0,0
alarm,1,4
mildew,5,32
mildew,6,44
mildew,4,41
mildew,4,48
mildew,3,36
mildew,5,42
mildew,13,111
mildew,8,39
mildew,11,74
mildew,10,86
mildew,11,62
mildew,12,88
water,0,12
water,0,15
water,0,15
water,1,14
water,2,13
water,0,10
water,0,21
water,0,24
water,0,19
water,0,9
water,0,24
water,0,20
barley,5,148
barley,5,127
barley,5,112
barley,3,38
barley,5,110
barley,7,103
barley,4,90
barley,12,178
barley,6,77
barley,8,115
barley,8,168
barley,8,139
