exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,0
asia-250,0,0
asia-250,0,2
asia-250,0,0
asia-250,0,0
asia-250,1,3
asia-250,1,3
asia-1000,1,6
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,0,1
child-500,1,1
child-500,1,1
child-500,2,3
child-500,0,0
child-500,0,0
child-2000,1,2
child-2000,1,2
child-2000,1,2
child-2000,1,2
child-2000,1,2
child-2000,1,3
insurance-500,1,17
insurance-500,1,18
insurance-500,2,21
insurance-500,1,21
insurance-500,0,11
insurance-500,2,25
insurance-2000,1,24
insurance-2000,1,34
insurance-2000,2,56
insurance-2000,1,29
insurance-2000,1,43
insurance-2000,1,25
alarm-1000,0,4
alarm-1000,0,3
alarm-1000,0,3
alarm-1000,0,2
alarm-1000,0,0
alarm-1000,0,0
alarm-4000,0,2
alarm-4000,0,1
alarm-4000,1,1
alarm-4000,0,0
alarm-4000,0,0
alarm-4000,1,4
mildew-8000,5,32
mildew-8000,6,44
mildew-8000,4,41
mildew-8000,4,48
mildew-8000,3,36
mildew-8000,5,42
mildew-32000,13,111
mildew-32000,8,39
mildew-32000,11,74
mildew-32000,10,86
mildew-32000,11,62
mildew-32000,12,88
water-1000,0,12
water-1000,0,15
water-1000,0,15
water-1000,1,14
water-1000,2,13
water-1000,0,10
water-4000,0,21
water-4000,0,24
water-4000,0,19
water-4000,0,9
water-4000,0,24
water-4000,0,20
barley-2000,5,148
barley-2000,5,127
barley-2000,5,112
barley-2000,3,38
barley-2000,5,110
barley-2000,7,103
barley-8000,4,90
barley-8000,12,178
barley-8000,6,77
barley-8000,8,115
barley-8000,8,168
barley-8000,8,139
