exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,1
cancer,0,1
asia,0,0
asia,2,5
asia,0,0
asia,0,0
asia,3,11
asia,2,7
asia,1,3
asia,0,0
asia,2,6
asia,0,0
asia,0,0
asia,0,0
child,0,3
child,2,6
child,2,6
child,4,9
child,2,4
child,1,1
child,1,3
child,1,3
child,1,1
child,1,2
child,1,3
child,2,4
insurance,4,25
insurance,3,17
insurance,2,21
insurance,3,22
insurance,1,19
insurance,2,28
insurance,2,29
insurance,4,25
insurance,2,16
insurance,1,23
insurance,3,26
insurance,4,31
alarm,4,20
alarm,2,12
alarm,4,20
alarm,6,31
alarm,3,17
alarm,2,11
alarm,4,19
alarm,0,7
alarm,1,11
alarm,0,9
alarm,2,10
alarm,1,9
mildew,0,31
mildew,0,30
mildew,0,33
mildew,0,32
mildew,0,32
mildew,0,28
mildew,3,21
mildew,4,35
mildew,4,33
mildew,4,34
mildew,5,40
mildew,4,31
water,0,1
water,0,20
water,0,2
water,0,6
water,0,7
water,0,3
water,0,2
water,0,13
water,0,7
water,0,6
water,0,5
water,0,1
barley,1,29
barley,1,28
barley,2,36
barley,1,22
barley,1,33
barley,1,24
barley,2,35
barley,1,31
barley,3,22
barley,1,9
barley,3,21
barley,6,72
