exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,1
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,1
cancer,0,1
cancer,0,0
asia,0,0
asia,5,17
asia,0,0
asia,1,2
asia,1,3
asia,1,7
asia,2,8
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,0,2
child,2,2
child,2,6
child,3,12
child,1,1
child,1,1
child,0,0
child,1,1
child,0,0
child,0,0
child,1,1
child,1,1
insurance,1,9
insurance,1,10
insurance,1,8
insurance,1,18
insurance,0,6
insurance,1,12
insurance,1,22
insurance,1,12
insurance,1,6
insurance,1,12
insurance,1,13
insurance,1,24
alarm,0,0
alarm,2,9
alarm,0,1
alarm,2,12
alarm,1,7
alarm,0,3
alarm,0,2
alarm,0,0
alarm,1,5
alarm,0,0
alarm,0,0
alarm,0,0
mildew,0,14
mildew,0,13
mildew,0,17
mildew,0,13
mildew,0,23
mildew,0,13
mildew,5,15
mildew,1,8
mildew,3,11
mildew,2,11
mildew,4,15
mildew,5,21
water,0,30
water,0,21
water,1,29
water,2,26
water,2,39
water,0,18
water,0,9
water,0,13
water,0,4
water,0,10
water,1,13
water,0,19
barley,0,4
barley,0,4
barley,0,18
barley,0,14
barley,0,12
barley,0,10
barley,0,10
barley,0,13
barley,0,4
barley,0,10
barley,0,4
barley,0,7
