exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-250,0,1
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,1
cancer-1000,0,1
cancer-1000,0,0
asia-250,0,0
asia-250,5,17
asia-250,0,0
asia-250,1,2
asia-250,1,3
asia-250,1,7
asia-1000,2,8
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,0,2
child-500,2,2
child-500,2,6
child-500,3,12
child-500,1,1
child-500,1,1
child-2000,0,0
child-2000,1,1
child-2000,0,0
child-2000,0,0
child-2000,1,1
child-2000,1,1
insurance-500,1,9
insurance-500,1,10
insurance-500,1,8
insurance-500,1,18
insurance-500,0,6
insurance-500,1,12
insurance-2000,1,22
insurance-2000,1,12
insurance-2000,1,6
insurance-2000,1,12
insurance-2000,1,13
insurance-2000,1,24
alarm-1000,0,0
alarm-1000,2,9
alarm-1000,0,1
alarm-1000,2,12
alarm-1000,1,7
alarm-1000,0,3
alarm-4000,0,2
alarm-4000,0,0
alarm-4000,1,5
alarm-4000,0,0
alarm-4000,0,0
alarm-4000,0,0
mildew-8000,0,14
mildew-8000,0,13
mildew-8000,0,17
mildew-8000,0,13
mildew-8000,0,23
mildew-8000,0,13
mildew-32000,5,15
mildew-32000,1,8
mildew-32000,3,11
mildew-32000,2,11
mildew-32000,4,15
mildew-32000,5,21
water-1000,0,30
water-1000,0,21
water-1000,1,29
water-1000,2,26
water-1000,2,39
water-1000,0,18
water-4000,0,9
water-4000,0,13
water-4000,0,4
water-4000,0,10
water-4000,1,13
water-4000,0,19
barley-2000,0,4
barley-2000,0,4
barley-2000,0,18
barley-2000,0,14
barley-2000,0,12
barley-2000,0,10
barley-8000,0,10
barley-8000,0,13
barley-8000,0,4
barley-8000,0,10
barley-8000,0,4
barley-8000,0,7
