exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
cancer-1000,0,1
asia-250,0,0
asia-250,2,6
asia-250,0,0
asia-250,0,0
asia-250,3,5
asia-250,1,8
asia-1000,1,4
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,1,6
child-500,1,1
child-500,2,4
child-500,4,18
child-500,1,1
child-500,1,1
child-2000,0,0
child-2000,1,1
child-2000,1,1
child-2000,1,1
child-2000,1,1
child-2000,1,1
insurance-500,1,15
insurance-500,2,9
insurance-500,2,13
insurance-500,2,19
insurance-500,0,14
insurance-500,2,22
insurance-2000,2,21
insurance-2000,1,14
insurance-2000,1,14
insurance-2000,1,15
insurance-2000,3,12
insurance-2000,1,16
alarm-1000,3,17
alarm-1000,0,0
alarm-1000,1,4
alarm-1000,5,38
alarm-1000,4,20
alarm-1000,0,2
alarm-4000,2,6
alarm-4000,0,1
alarm-4000,1,4
alarm-4000,0,1
alarm-4000,0,0
alarm-4000,0,0
mildew-8000,0,31
mildew-8000,0,31
mildew-8000,0,31
mildew-8000,0,33
mildew-8000,0,32
mildew-8000,0,29
mildew-32000,4,31
mildew-32000,4,30
mildew-32000,3,40
mildew-32000,4,29
mildew-32000,5,32
mildew-32000,4,27
water-1000,0,16
water-1000,0,6
water-1000,0,16
water-1000,0,9
water-1000,0,11
water-1000,0,12
water-4000,0,16
water-4000,0,22
water-4000,0,11
water-4000,0,15
water-4000,0,14
water-4000,0,20
barley-2000,0,17
barley-2000,0,22
barley-2000,0,27
barley-2000,0,19
barley-2000,0,18
barley-8000,1,15
barley-8000,0,7
barley-8000,0,13
barley-8000,0,9
barley-8000,0,9
barley-8000,0,9
