exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,1
cancer,0,0
asia,0,0
asia,4,13
asia,0,0
asia,1,2
asia,2,6
asia,2,6
asia,1,2
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,1,5
child,1,4
child,2,4
child,3,10
child,1,1
child,1,3
child,1,5
child,1,7
child,0,0
child,2,3
child,1,6
child,2,5
insurance,3,14
insurance,1,10
insurance,2,17
insurance,3,21
insurance,0,12
insurance,1,19
insurance,3,27
insurance,3,18
insurance,1,21
insurance,3,17
insurance,3,24
insurance,3,21
alarm,2,19
alarm,3,11
alarm,2,26
alarm,2,22
alarm,4,37
alarm,5,32
alarm,2,14
alarm,2,15
alarm,1,21
alarm,0,16
alarm,2,19
alarm,1,19
mildew,1,15
mildew,1,9
mildew,1,14
mildew,2,11
mildew,2,11
mildew,1,8
mildew,3,15
mildew,3,15
mildew,3,7
mildew,2,14
mildew,4,17
mildew,4,17
water,0,16
water,0,3
water,0,6
water,2,14
water,2,8
water,0,9
water,2,7
water,1,5
water,0,4
water,0,16
water,0,11
water,0,15
barley,1,17
barley,2,13
barley,2,20
barley,2,17
barley,0,10
barley,2,18
barley,1,18
barley,0,12
barley,1,10
barley,1,25
barley,1,12
barley,1,12
