exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
asia-250,0,0
asia-250,4,13
asia-250,0,0
asia-250,1,2
asia-250,2,6
asia-250,2,6
asia-1000,1,2
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,1,5
child-500,1,4
child-500,2,4
child-500,3,10
child-500,1,1
child-500,1,3
child-2000,1,5
child-2000,1,7
child-2000,0,0
child-2000,2,3
child-2000,1,6
child-2000,2,5
insurance-500,3,14
insurance-500,1,10
insurance-500,2,17
insurance-500,3,21
insurance-500,0,12
insurance-500,1,19
insurance-2000,3,27
insurance-2000,3,18
insurance-2000,1,21
insurance-2000,3,17
insurance-2000,3,24
insurance-2000,3,21
alarm-1000,2,19
alarm-1000,3,11
alarm-1000,2,26
alarm-1000,2,22
alarm-1000,4,37
alarm-1000,5,32
alarm-4000,2,14
alarm-4000,2,15
alarm-4000,1,21
alarm-4000,0,16
alarm-4000,2,19
alarm-4000,1,19
mildew-8000,1,15
mildew-8000,1,9
mildew-8000,1,14
mildew-8000,2,11
mildew-8000,2,11
mildew-8000,1,8
mildew-32000,3,15
mildew-32000,3,15
mildew-32000,3,7
mildew-32000,2,14
mildew-32000,4,17
mildew-32000,4,17
water-1000,0,16
water-1000,0,3
water-1000,0,6
water-1000,2,14
water-1000,2,8
water-1000,0,9
water-4000,2,7
water-4000,1,5
water-4000,0,4
water-4000,0,16
water-4000,0,11
water-4000,0,15
barley-2000,1,17
barley-2000,2,13
barley-2000,2,20
barley-2000,2,17
barley-2000,0,10
barley-2000,2,18
barley-8000,1,18
barley-8000,0,12
barley-8000,1,10
barley-8000,1,25
barley-8000,1,12
barley-8000,1,12
