exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,1
cancer,0,1
asia,0,0
asia,2,5
asia,0,0
asia,0,0
asia,2,6
asia,2,5
asia,1,2
asia,0,0
asia,2,6
asia,0,0
asia,0,0
asia,0,0
child,0,3
child,2,7
child,2,5
child,4,9
child,2,3
child,1,1
child,1,4
child,1,2
child,1,1
child,1,2
child,2,8
child,2,3
insurance,2,14
insurance,3,17
insurance,2,18
insurance,2,18
insurance,1,12
insurance,1,15
insurance,2,22
insurance,4,19
insurance,1,16
insurance,1,20
insurance,3,17
insurance,4,23
alarm,2,29
alarm,2,19
alarm,3,23
alarm,4,21
alarm,1,19
alarm,2,22
alarm,2,22
alarm,0,12
alarm,1,21
alarm,0,21
alarm,2,13
alarm,1,19
mildew,0,13
mildew,0,13
mildew,0,22
mildew,0,15
mildew,0,16
mildew,0,14
mildew,2,18
mildew,3,20
mildew,3,12
mildew,3,18
mildew,3,15
mildew,3,10
water,0,1
water,0,20
water,0,2
water,0,6
water,0,6
water,0,3
water,0,2
water,0,12
water,0,6
water,0,6
water,0,5
water,0,0
barley,1,29
barley,1,29
barley,2,20
barley,1,15
barley,1,18
barley,1,15
barley,2,37
barley,1,34
barley,3,28
barley,1,9
barley,3,19
barley,3,29
