exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-250,0,1
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,1
cancer-1000,0,1
cancer-1000,0,0
asia-250,0,0
asia-250,5,17
asia-250,0,0
asia-250,1,2
asia-250,1,3
asia-250,1,7
asia-1000,1,6
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,0,1
child-500,2,5
child-500,2,5
child-500,3,12
child-500,1,1
child-500,1,1
child-2000,0,0
child-2000,1,1
child-2000,0,0
child-2000,0,0
child-2000,1,2
child-2000,1,2
insurance-500,1,9
insurance-500,1,10
insurance-500,1,8
insurance-500,1,21
insurance-500,0,6
insurance-500,1,12
insurance-2000,1,18
insurance-2000,1,7
insurance-2000,1,9
insurance-2000,1,11
insurance-2000,1,9
insurance-2000,1,26
alarm-1000,0,2
alarm-1000,2,9
alarm-1000,0,2
alarm-1000,2,12
alarm-1000,0,4
alarm-1000,0,3
alarm-4000,0,3
alarm-4000,0,0
alarm-4000,0,0
alarm-4000,0,0
alarm-4000,0,0
alarm-4000,0,0
mildew-8000,0,10
mildew-8000,0,8
mildew-8000,0,8
mildew-8000,0,14
mildew-8000,0,12
mildew-8000,0,9
mildew-32000,2,3
mildew-32000,0,2
mildew-32000,2,4
mildew-32000,0,3
mildew-32000,2,6
mildew-32000,3,6
water-1000,0,19
water-1000,0,20
water-1000,1,29
water-1000,2,27
water-1000,1,30
water-1000,0,18
water-4000,0,9
water-4000,0,9
water-4000,0,6
water-4000,0,9
water-4000,1,14
water-4000,0,14
barley-2000,0,4
barley-2000,0,4
barley-2000,0,12
barley-2000,0,15
barley-2000,0,12
barley-2000,0,10
barley-8000,0,7
barley-8000,0,14
barley-8000,0,2
barley-8000,0,6
barley-8000,0,4
barley-8000,0,5
