exp_name,wrong_prior,wrong_query
cancer-250,0,0
cancer-250,0,0
cancer-250,0,1
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,0
cancer-1000,0,1
cancer-1000,0,0
cancer-1000,0,1
asia-250,0,0
asia-250,2,6
asia-250,0,0
asia-250,0,0
asia-250,4,15
asia-250,1,6
asia-1000,1,3
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
asia-1000,0,0
child-500,1,5
child-500,2,3
child-500,2,4
child-500,4,17
child-500,1,1
child-500,1,1
child-2000,0,0
child-2000,1,1
child-2000,1,1
child-2000,1,1
child-2000,1,2
child-2000,1,2
insurance-500,1,12
insurance-500,2,9
insurance-500,2,18
insurance-500,2,16
insurance-500,0,12
insurance-500,2,18
insurance-2000,2,23
insurance-2000,1,12
insurance-2000,1,15
insurance-2000,1,23
insurance-2000,2,28
insurance-2000,1,20
alarm-1000,1,4
alarm-1000,0,0
alarm-1000,1,4
alarm-1000,2,9
alarm-1000,1,4
alarm-1000,1,4
alarm-4000,0,0
alarm-4000,0,1
alarm-4000,1,1
alarm-4000,0,0
alarm-4000,0,0
alarm-4000,0,0
mildew-8000,0,17
mildew-8000,0,16
mildew-8000,0,16
mildew-8000,0,17
mildew-8000,0,11
mildew-8000,0,11
mildew-32000,2,10
mildew-32000,2,10
mildew-32000,1,12
mildew-32000,2,10
mildew-32000,2,9
mildew-32000,2,12
water-1000,0,20
water-1000,0,9
water-1000,0,15
water-1000,0,8
water-1000,0,11
water-1000,0,18
water-4000,0,14
water-4000,0,21
water-4000,0,8
water-4000,0,10
water-4000,0,14
water-4000,0,19
barley-2000,0,18
barley-2000,0,24
barley-2000,0,38
barley-2000,0,20
barley-2000,0,18
barley-8000,2,22
barley-8000,0,7
barley-8000,0,8
barley-8000,0,8
barley-8000,0,12
barley-8000,0,8
