iter,prior_num,wrong_prior
1,39,3
2,64,3
3,67,4
4,74,5
5,74,5
1,46,3
2,67,5
3,86,5
4,91,5
5,94,6
6,94,6
1,54,3
2,62,3
3,64,3
4,65,3
5,73,4
6,73,4
1,44,3
2,61,3
3,66,3
4,76,4
5,81,4
6,85,4
7,85,4
1,56,3
2,60,3
3,69,3
4,72,3
5,72,3
1,48,3
2,60,4
3,65,4
4,71,4
5,73,5
6,73,5
1,61,6
2,81,7
3,102,9
4,114,10
5,115,11
6,122,12
7,125,13
8,127,13
9,131,13
10,133,13
11,135,13
12,135,13
1,62,7
2,78,8
3,80,8
4,80,8
1,78,6
2,90,7
3,102,10
4,108,10
5,114,10
6,127,11
7,129,11
8,129,11
1,68,6
2,85,8
3,100,9
4,105,10
5,111,10
6,113,10
7,119,10
8,128,10
9,128,10
1,68,6
2,87,8
3,97,10
4,103,11
5,107,11
6,115,11
7,115,11
1,58,7
2,68,8
3,87,8
4,108,9
5,111,9
6,114,11
7,124,12
8,124,12
