iter,TPR,SHD
1,0.8043,0.2826
2,0.8478,0.2391
3,0.9348,0.0652
1,0.8478,0.2174
2,0.9348,0.1522
3,0.8913,0.1304
4,0.913,0.087
1,0.7826,0.2826
2,0.9348,0.1304
3,0.9348,0.087
1,0.8043,0.2609
2,0.913,0.087
1,0.8696,0.1739
2,0.9348,0.0652
1,0.8478,0.1957
2,0.913,0.087
1,0.8043,0.2826
2,0.9565,0.0435
1,0.8478,0.2174
2,0.9348,0.0652
1,0.8913,0.1304
2,0.9348,0.1087
3,0.9348,0.0652
1,0.8696,0.1739
2,0.9348,0.087
3,0.9348,0.0652
1,0.8913,0.1304
2,0.9348,0.0652
1,0.8696,0.1739
2,0.7609,0.3261
3,0.9348,0.0652
