iter,TPR,SHD
1,0.2174,1.087
2,0.1522,1.2174
3,0.3261,0.9783
4,0.2609,1.1087
5,0.2609,1.0652
1,0.2609,1.087
2,0.2826,1.1087
3,0.1957,1.2609
4,0.2174,1.1087
5,0.2391,1.1304
6,0.2826,1.0217
1,0.1522,1.2826
2,0.3478,0.9783
3,0.2826,1.0217
4,0.2826,1.0652
5,0.2609,1.0
6,0.3913,0.8696
1,0.1957,1.1739
2,0.1957,1.2174
3,0.1522,1.2174
4,0.2826,1.0
5,0.2174,1.1304
6,0.3043,1.0
7,0.2391,1.0435
1,0.1304,1.3043
2,0.1957,1.1522
3,0.2174,1.1522
4,0.1957,1.1304
5,0.2391,1.0652
1,0.1522,1.2391
2,0.3261,1.0
3,0.2609,1.0435
4,0.3478,0.9565
5,0.2609,1.087
6,0.3261,0.9783
1,0.3478,1.1957
2,0.1522,1.3913
3,0.1522,1.4348
4,0.3261,1.2391
5,0.3261,1.2174
6,0.3913,1.2174
7,0.2174,1.3043
8,0.2609,1.3043
9,0.1304,1.4783
10,0.2391,1.3043
11,0.087,1.5217
12,0.2826,1.2391
1,0.3043,1.2174
2,0.1522,1.3696
3,0.2609,1.2609
4,0.2826,1.2391
1,0.1087,1.5217
2,0.2174,1.3696
3,0.3043,1.2609
4,0.1522,1.413
5,0.3696,1.1957
6,0.4348,1.1304
7,0.3261,1.2391
8,0.2609,1.2174
1,0.2609,1.3261
2,0.2609,1.2609
3,0.3261,1.2609
4,0.3696,1.2174
5,0.3696,1.1304
6,0.3043,1.2609
7,0.4565,1.1087
8,0.1739,1.3696
9,0.3043,1.3478
1,0.2826,1.3043
2,0.3478,1.2174
3,0.3478,1.1739
4,0.3043,1.2391
5,0.3913,1.1304
6,0.3261,1.2391
7,0.3043,1.2609
1,0.3261,1.2609
2,0.2609,1.2391
3,0.2826,1.3043
4,0.3478,1.2174
5,0.3261,1.2391
6,0.4348,1.0435
7,0.3043,1.2609
8,0.2826,1.2391
