iter,TPR,SHD
1,0.1818,0.8939
2,0.2576,0.7576
3,0.2727,0.7424
4,0.2879,0.7121
1,0.1364,1.0303
2,0.303,0.7424
3,0.3182,0.697
4,0.303,0.697
1,0.197,0.8333
2,0.2273,0.8182
3,0.3182,0.6818
1,0.1515,0.8939
2,0.303,0.7273
3,0.303,0.697
1,0.2273,0.8182
2,0.2424,0.8333
3,0.2879,0.7273
1,0.2273,0.8333
2,0.2879,0.7576
3,0.2879,0.7576
4,0.303,0.697
1,0.1818,0.8939
2,0.3485,0.7121
3,0.3939,0.6212
4,0.3636,0.6515
1,0.2424,0.803
2,0.3485,0.6818
3,0.3788,0.6212
4,0.3939,0.6212
5,0.3333,0.697
6,0.3333,0.6818
1,0.2576,0.803
2,0.303,0.7273
3,0.3636,0.6364
4,0.3788,0.6364
1,0.2424,0.803
2,0.3788,0.6364
1,0.2424,0.7879
2,0.3788,0.6515
3,0.3636,0.6515
4,0.4242,0.5758
1,0.2727,0.7879
2,0.303,0.697
3,0.3939,0.6212
4,0.3788,0.6212
