iter,TPR,SHD
1,0.6087,0.6522
2,0.913,0.1957
3,0.9348,0.1304
4,0.9565,0.1087
1,0.5652,0.6304
2,0.9348,0.1304
3,0.9565,0.1304
4,0.9565,0.1304
5,0.9565,0.1304
1,0.5435,0.6522
2,0.9348,0.2609
3,0.9565,0.1087
4,0.9565,0.087
1,0.7174,0.4348
2,0.9348,0.1522
3,0.9348,0.1304
1,0.5435,0.7826
2,0.8478,0.3043
3,0.9348,0.1522
1,0.5,0.7391
2,0.9348,0.1957
3,0.9565,0.1304
1,0.6739,0.5
2,0.9565,0.1087
3,0.9565,0.087
1,0.5652,0.6522
2,0.9348,0.1304
3,0.9565,0.087
1,0.6304,0.6522
2,0.9348,0.1304
3,0.9565,0.087
1,0.587,0.7826
2,0.9348,0.0652
1,0.5652,0.6739
2,0.9348,0.1522
3,0.9565,0.1087
4,0.9565,0.087
1,0.6304,0.587
2,0.9348,0.1739
3,0.9565,0.087
