iter,TPR,SHD
1,0.3462,0.75
2,0.6154,0.4423
3,0.5962,0.4615
1,0.5,0.5962
2,0.5385,0.5192
3,0.6346,0.4038
4,0.6346,0.3846
1,0.4231,0.6731
2,0.5577,0.5
3,0.6154,0.4038
1,0.3269,0.7692
2,0.5385,0.5577
3,0.5192,0.5577
1,0.4615,0.6731
2,0.5577,0.5192
3,0.6154,0.4231
4,0.6154,0.4038
1,0.4423,0.6731
2,0.5577,0.5385
3,0.5577,0.5
4,0.5962,0.4615
1,0.4231,0.75
2,0.6731,0.4038
3,0.6923,0.4038
4,0.7115,0.3654
1,0.4038,0.7308
2,0.7115,0.3654
3,0.6923,0.4038
4,0.6923,0.3846
1,0.4423,0.6923
2,0.6923,0.3846
3,0.75,0.2692
1,0.4231,0.75
2,0.7308,0.3462
3,0.7308,0.3462
4,0.7308,0.3462
5,0.7308,0.3269
1,0.5962,0.5192
2,0.6346,0.4615
3,0.7308,0.3462
1,0.5,0.6538
2,0.6731,0.4231
3,0.7308,0.3654
