iter,TPR,SHD
1,0.3478,0.8478
2,0.587,0.5
3,0.6087,0.4565
1,0.3696,0.8261
2,0.6087,0.4565
1,0.3913,0.7391
2,0.6087,0.4565
3,0.6087,0.4565
1,0.3043,0.913
2,0.6087,0.4783
1,0.3913,0.8261
2,0.6087,0.4783
1,0.5,0.6087
2,0.5435,0.5435
3,0.6087,0.4565
1,0.3696,1.0
2,0.6739,0.5652
3,0.8261,0.2391
1,0.3696,0.9565
2,0.6957,0.5435
3,0.8478,0.2174
1,0.3043,1.0652
2,0.7826,0.3261
3,0.8043,0.3261
4,0.8478,0.2391
1,0.4348,0.8696
2,0.7174,0.4348
3,0.8478,0.1957
1,0.3696,1.0217
2,0.7174,0.5435
3,0.8261,0.3043
4,0.8696,0.2174
1,0.3478,1.0435
2,0.6957,0.5652
3,0.8478,0.2391
