iter,TPR,SHD
1,0.5,0.6739
2,0.8261,0.2391
3,0.8261,0.2609
4,0.8696,0.2174
5,0.8696,0.2174
1,0.5217,0.6739
2,0.8043,0.2391
3,0.8478,0.2174
4,0.8696,0.1739
1,0.4565,0.7609
2,0.7174,0.3913
3,0.8043,0.2826
4,0.8261,0.2609
1,0.4348,0.7174
2,0.7609,0.3478
3,0.8261,0.3043
4,0.8478,0.2826
5,0.8696,0.2609
1,0.5652,0.6304
2,0.8261,0.2391
3,0.8478,0.2174
4,0.8696,0.2174
5,0.8696,0.2174
1,0.5217,0.6304
2,0.8261,0.2174
3,0.8478,0.1957
4,0.8696,0.1739
1,0.5217,0.6957
2,0.913,0.1522
3,0.913,0.1739
4,0.913,0.1739
1,0.6739,0.4348
2,0.913,0.1087
1,0.5652,0.6304
2,0.8913,0.1522
3,0.913,0.1087
1,0.5652,0.6087
2,0.913,0.1087
3,0.9348,0.0652
1,0.5217,0.6522
2,0.8913,0.1522
3,0.913,0.1304
1,0.6087,0.5217
2,0.8696,0.1957
3,0.913,0.1087
