iter,TPR,SHD
1,0.2024,0.9286
2,0.3214,0.7857
3,0.3333,0.7738
1,0.2143,0.8929
2,0.3095,0.8095
3,0.369,0.7381
1,0.2857,0.869
2,0.3452,0.7857
3,0.3333,0.8095
4,0.369,0.7619
1,0.2976,0.8214
2,0.369,0.75
3,0.381,0.7381
1,0.2619,0.881
2,0.3452,0.75
3,0.3095,0.8095
4,0.3571,0.75
1,0.3095,0.7976
2,0.3333,0.7857
3,0.3452,0.7738
1,0.3214,0.8214
2,0.3571,0.8095
3,0.4048,0.7619
1,0.4048,0.7143
2,0.4524,0.6548
3,0.4643,0.6548
4,0.4524,0.6667
1,0.2619,0.9167
2,0.4643,0.6786
1,0.4167,0.7024
2,0.4524,0.6786
1,0.3452,0.7857
2,0.4762,0.631
3,0.5119,0.5952
1,0.3214,0.869
2,0.4286,0.75
3,0.3929,0.7738
4,0.4286,0.75
5,0.4286,0.75
