iter,TPR,SHD
1,0.3043,0.8261
2,0.4565,0.6957
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.2391,0.913
2,0.5,0.6304
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.1739,1.0
2,0.4783,0.6739
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.2609,0.8913
2,0.5,0.6304
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.2609,0.8913
2,0.4783,0.6739
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.2826,0.8696
2,0.5,0.6304
3,0.5,0.6087
4,0.5,0.587
5,0.5,0.5652
1,0.4348,0.7391
2,0.587,0.6087
3,0.7174,0.3913
1,0.2826,1.0435
2,0.6739,0.4565
3,0.6522,0.5
4,0.6739,0.4565
1,0.3913,0.8696
2,0.6739,0.4565
3,0.5652,0.6739
4,0.6739,0.4565
1,0.2826,1.0652
2,0.6957,0.4565
3,0.6957,0.4565
4,0.6957,0.4565
1,0.3696,0.913
2,0.6304,0.5217
3,0.5435,0.7174
4,0.6522,0.5
1,0.4783,0.8043
2,0.587,0.587
3,0.5435,0.6957
4,0.6522,0.4783
