iter,TPR,SHD
1,0.5476,0.5
1,0.5476,0.5595
1,0.5476,0.5595
2,0.5357,0.5714
3,0.5595,0.5476
1,0.5119,0.5833
2,0.5476,0.5476
1,0.5,0.6071
2,0.5357,0.5714
1,0.5476,0.5476
2,0.5595,0.5357
1,0.6548,0.381
2,0.6429,0.4048
3,0.6429,0.4048
4,0.6667,0.381
1,0.6429,0.4048
2,0.6667,0.369
3,0.631,0.4048
4,0.6667,0.381
1,0.619,0.4167
2,0.6429,0.3929
3,0.6548,0.381
1,0.631,0.3929
2,0.6548,0.381
3,0.6667,0.369
1,0.6548,0.3571
2,0.5952,0.4167
3,0.6667,0.3452
1,0.5952,0.4524
2,0.631,0.4048
3,0.631,0.4167
4,0.6548,0.3929
