iter,TPR,SHD
1,0.5217,0.5217
2,0.6087,0.4348
3,0.6087,0.4348
1,0.5435,0.5
2,0.6087,0.4348
3,0.6087,0.4348
1,0.5435,0.5
2,0.6087,0.4348
3,0.5652,0.5
4,0.6087,0.4348
1,0.5652,0.4783
2,0.587,0.4565
3,0.6087,0.4348
1,0.5652,0.4783
2,0.5652,0.4783
3,0.5652,0.5
4,0.5652,0.5
5,0.6087,0.4348
1,0.5435,0.5
2,0.6087,0.4348
3,0.6087,0.4348
1,0.6522,0.5
2,0.7826,0.3261
3,0.8043,0.5
1,0.6304,0.4783
2,0.8478,0.1739
3,0.8478,0.1739
4,0.8913,0.1304
1,0.6739,0.4348
2,0.7826,0.3043
3,0.8696,0.1957
1,0.6957,0.3696
2,0.7826,0.2826
3,0.7826,0.3043
4,0.8913,0.1522
1,0.6739,0.4783
2,0.7826,0.3261
3,0.8043,0.5
1,0.6739,0.4783
2,0.7391,0.3696
3,0.8478,0.2609
4,0.8261,0.4783
