iter,TPR,SHD
1,0.3485,0.697
2,0.3182,0.697
3,0.3333,0.6818
4,0.3636,0.6364
5,0.3182,0.6818
6,0.3636,0.6364
1,0.2121,0.9091
2,0.3333,0.7121
3,0.3636,0.6667
4,0.3788,0.6364
1,0.3182,0.7424
2,0.303,0.7576
3,0.3182,0.7424
1,0.3636,0.7273
2,0.3788,0.6667
3,0.3636,0.6667
4,0.3939,0.6364
1,0.303,0.7727
2,0.2879,0.7727
3,0.3333,0.7273
4,0.3182,0.7273
5,0.3182,0.7273
1,0.303,0.7727
2,0.3485,0.697
3,0.3485,0.6818
1,0.4091,0.6061
2,0.4394,0.5606
1,0.4242,0.5909
2,0.3939,0.6212
3,0.4242,0.5758
1,0.4242,0.5909
2,0.4697,0.5303
1,0.3788,0.6515
2,0.4242,0.5909
3,0.4545,0.5455
1,0.4545,0.5606
2,0.4091,0.6061
3,0.5,0.5
4,0.4545,0.5455
1,0.3939,0.6667
2,0.4091,0.6061
3,0.3788,0.6212
4,0.4242,0.5909
