iter,TPR,SHD
1,0.6957,0.3696
2,0.7826,0.2609
3,0.8043,0.2826
4,0.8043,0.2826
5,0.8696,0.1957
1,0.8043,0.2174
2,0.7826,0.2391
3,0.913,0.087
1,0.6957,0.3696
2,0.8043,0.2174
3,0.8913,0.1304
4,0.913,0.1087
1,0.6304,0.4348
2,0.7826,0.2609
3,0.8043,0.3043
4,0.8478,0.2391
5,0.8913,0.1957
6,0.8696,0.2826
7,0.8913,0.2391
1,0.7609,0.2826
2,0.8261,0.2174
3,0.8043,0.2826
4,0.8913,0.1739
5,0.8913,0.2174
6,0.8913,0.2174
1,0.7609,0.2609
2,0.6957,0.3478
3,0.8696,0.1304
4,0.8696,0.1304
5,0.913,0.087
1,0.8696,0.1304
2,0.7609,0.3043
3,0.8913,0.1304
4,0.913,0.1304
5,0.913,0.1304
1,0.8043,0.2174
2,0.9348,0.0652
1,0.8478,0.1739
2,0.913,0.1304
3,0.8913,0.1522
4,0.913,0.1087
1,0.8913,0.1087
2,0.8913,0.1522
3,0.8478,0.1957
4,0.9348,0.0652
1,0.8696,0.1304
2,0.8913,0.1087
3,0.913,0.087
1,0.8696,0.1304
2,0.8478,0.1957
3,0.913,0.087
