iter,TPR,SHD
1,0.3654,0.7115
2,0.4423,0.5962
3,0.4808,0.5577
4,0.5192,0.5192
1,0.4423,0.5962
2,0.4808,0.5577
3,0.5,0.5385
1,0.4808,0.5769
2,0.4038,0.6731
3,0.5192,0.5385
1,0.4038,0.6154
2,0.4615,0.6154
3,0.4808,0.5769
4,0.4615,0.5962
5,0.5192,0.5385
1,0.4615,0.5962
2,0.4808,0.5769
3,0.5192,0.5385
1,0.4038,0.6538
2,0.3846,0.7308
3,0.4423,0.6538
4,0.4808,0.6154
1,0.4231,0.6346
2,0.6538,0.4038
3,0.6923,0.3462
4,0.6731,0.3654
5,0.7115,0.3269
1,0.5192,0.5
2,0.6538,0.3846
3,0.6731,0.3462
4,0.6923,0.3269
1,0.5,0.5385
2,0.6154,0.4423
3,0.6154,0.4231
1,0.4808,0.5769
2,0.6538,0.3846
3,0.6538,0.3654
4,0.6731,0.3462
5,0.6923,0.3269
1,0.5385,0.5192
2,0.5577,0.5385
1,0.5,0.5577
2,0.6731,0.3846
3,0.6538,0.3846
