iter,TPR,SHD
1,0.3696,0.7391
2,0.413,0.7391
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.3696,0.7391
2,0.3913,0.7609
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.3696,0.7391
2,0.3913,0.7609
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.3696,0.7391
2,0.3696,0.7826
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.3696,0.7391
2,0.3913,0.7609
3,0.5,0.6087
4,0.5,0.6087
5,0.5,0.587
1,0.3478,0.7609
2,0.3913,0.7609
3,0.5,0.587
4,0.5,0.587
5,0.5,0.5652
1,0.3696,0.8913
2,0.6087,0.587
3,0.6739,0.4783
4,0.6739,0.4565
1,0.5,0.6957
2,0.5435,0.6739
3,0.6739,0.4783
4,0.6739,0.4565
1,0.5217,0.6304
2,0.587,0.6087
3,0.6957,0.4348
4,0.6522,0.4565
5,0.6957,0.4348
6,0.7174,0.3913
1,0.5,0.7174
2,0.5652,0.6522
3,0.6957,0.4565
4,0.6957,0.4565
1,0.4783,0.7391
2,0.4783,0.7609
3,0.6522,0.5217
4,0.6739,0.4783
1,0.5217,0.6957
2,0.587,0.587
3,0.6739,0.5
4,0.6739,0.4565
