iter,TPR,SHD
1,0.6087,0.6522
2,0.6957,0.5
3,0.8261,0.2391
1,0.5652,0.6304
2,0.8043,0.2609
3,0.8261,0.2391
1,0.5435,0.6522
2,0.7826,0.4348
3,0.8043,0.3261
4,0.8043,0.3043
1,0.7174,0.4348
2,0.7609,0.3696
3,0.7609,0.3696
4,0.7609,0.3478
1,0.5435,0.7826
2,0.6739,0.5217
3,0.7826,0.413
4,0.8043,0.3261
1,0.5,0.7391
2,0.6304,0.6522
3,0.8043,0.3478
4,0.8043,0.3261
1,0.6739,0.5
2,0.8261,0.2826
3,0.8261,0.2609
1,0.5652,0.6522
2,0.7391,0.3913
3,0.8478,0.1957
4,0.8696,0.1522
1,0.6304,0.6522
2,0.7609,0.3696
3,0.8043,0.3043
4,0.8043,0.2826
1,0.587,0.7826
2,0.8696,0.1957
1,0.5652,0.6739
2,0.7391,0.3696
3,0.7609,0.3261
1,0.6304,0.587
2,0.7826,0.3696
3,0.8043,0.2826
