iter,TPR,SHD
1,0.3462,0.75
2,0.5,0.5385
3,0.5,0.5385
1,0.5,0.5962
2,0.5962,0.4423
3,0.5962,0.4423
4,0.5962,0.4231
1,0.4231,0.6731
2,0.5962,0.4615
3,0.5962,0.4423
4,0.5962,0.4423
1,0.3269,0.7692
2,0.4231,0.6538
3,0.4231,0.6346
1,0.4615,0.6731
2,0.5577,0.5192
3,0.5577,0.4808
4,0.5577,0.4615
1,0.4423,0.6731
2,0.5192,0.5769
3,0.5192,0.5385
4,0.5577,0.5
1,0.4231,0.75
2,0.6731,0.3846
3,0.6923,0.3654
4,0.7115,0.3462
1,0.4038,0.7308
2,0.6923,0.3462
3,0.6923,0.3462
1,0.4423,0.6923
2,0.6923,0.4038
3,0.75,0.3077
1,0.4231,0.75
2,0.7115,0.3462
3,0.7308,0.3077
1,0.5962,0.5192
2,0.6538,0.4231
3,0.6538,0.4231
1,0.5,0.6538
2,0.6731,0.4231
3,0.7115,0.3654
