iter,TPR,SHD
1,0.5,0.6739
2,0.5435,0.587
3,0.6304,0.4783
4,0.6522,0.4565
1,0.5217,0.6739
2,0.6739,0.413
3,0.6957,0.3913
1,0.4565,0.7609
2,0.6304,0.4783
3,0.6522,0.4565
1,0.4348,0.7174
2,0.5652,0.5217
3,0.6087,0.4565
4,0.6304,0.4348
5,0.6522,0.413
1,0.5652,0.6304
2,0.7391,0.3478
3,0.7391,0.3478
4,0.7391,0.3478
1,0.5217,0.6304
2,0.5652,0.5652
3,0.6522,0.4348
4,0.6739,0.413
1,0.5217,0.6957
2,0.6304,0.5435
3,0.7174,0.3913
1,0.6739,0.4348
2,0.7174,0.3913
1,0.5652,0.6304
2,0.6957,0.413
3,0.7174,0.3913
1,0.5652,0.6087
2,0.6957,0.4348
3,0.7174,0.3913
1,0.5217,0.6522
2,0.8043,0.2609
3,0.8696,0.1522
4,0.8913,0.1304
1,0.6087,0.5217
2,0.6739,0.4565
3,0.7174,0.3913
