iter,TPR,SHD
1,0.3043,0.8261
2,0.413,0.7174
3,0.413,0.7174
1,0.2391,0.913
2,0.413,0.7174
3,0.413,0.7174
1,0.1739,1.0
2,0.3913,0.7609
3,0.413,0.7174
4,0.413,0.7174
1,0.2609,0.8913
2,0.4348,0.6957
3,0.4348,0.6957
1,0.2609,0.8913
2,0.413,0.7391
3,0.4348,0.6957
1,0.2826,0.8696
2,0.413,0.7174
3,0.413,0.7174
1,0.4348,0.7391
2,0.5435,0.6087
3,0.5435,0.587
1,0.2826,1.0435
2,0.5435,0.587
3,0.5435,0.587
1,0.3913,0.8696
2,0.5652,0.5435
1,0.2826,1.0652
2,0.5652,0.5652
3,0.5652,0.5652
1,0.3696,0.913
2,0.5435,0.587
1,0.4783,0.8043
2,0.5652,0.5435
