iter,TPR,SHD
1,0.2727,0.7576
2,0.303,0.7273
3,0.3182,0.697
4,0.3182,0.6818
1,0.2121,0.8333
2,0.2727,0.7576
3,0.2727,0.7424
4,0.2727,0.7273
1,0.2879,0.7273
2,0.3333,0.6667
1,0.2879,0.7424
2,0.3333,0.6667
3,0.3182,0.6818
1,0.2727,0.7424
2,0.3182,0.6818
1,0.2727,0.7727
2,0.3182,0.697
3,0.3182,0.6818
1,0.3788,0.6818
2,0.3939,0.6061
1,0.3182,0.7576
2,0.3636,0.6515
3,0.3636,0.6515
1,0.3333,0.7121
2,0.3636,0.6515
3,0.3636,0.6515
1,0.3333,0.697
2,0.3788,0.6364
3,0.3788,0.6212
1,0.3333,0.697
2,0.4242,0.5758
1,0.3788,0.6818
2,0.4091,0.6212
3,0.4394,0.5758
4,0.4394,0.5758
