iter,TPR,SHD
1,0.5217,0.5217
2,0.5652,0.4783
1,0.5435,0.5
2,0.587,0.4565
1,0.5435,0.5
2,0.587,0.4565
1,0.5652,0.4783
2,0.5435,0.5
3,0.5652,0.4783
1,0.5652,0.4783
2,0.5652,0.4783
3,0.587,0.4565
1,0.5435,0.5
2,0.5652,0.4783
1,0.6522,0.5
2,0.7174,0.3696
3,0.7174,0.3696
1,0.6304,0.4783
2,0.6739,0.413
3,0.7174,0.3478
1,0.6739,0.4348
2,0.7174,0.3696
3,0.7174,0.3696
1,0.6957,0.3696
2,0.6739,0.413
3,0.6739,0.413
4,0.6739,0.4348
5,0.7174,0.3478
1,0.6739,0.4783
2,0.7174,0.3913
3,0.7174,0.3913
1,0.6739,0.4783
2,0.6739,0.4348
3,0.7174,0.3696
