iter,TPR,SHD
1,0.3654,0.7115
2,0.4808,0.5577
3,0.5385,0.5
1,0.4423,0.5962
2,0.4808,0.5577
3,0.4808,0.5577
1,0.4808,0.5769
2,0.4038,0.6731
3,0.4038,0.6538
4,0.5192,0.5385
1,0.4038,0.6154
2,0.4038,0.6538
3,0.5,0.5577
4,0.4808,0.5769
1,0.4615,0.5962
2,0.4808,0.5769
3,0.4808,0.5769
1,0.4038,0.6538
2,0.3846,0.6923
3,0.4038,0.6538
4,0.4808,0.5769
1,0.4231,0.6346
2,0.5,0.5577
3,0.4808,0.5577
1,0.5192,0.5
2,0.5577,0.4615
1,0.5,0.5385
2,0.5769,0.4615
3,0.6346,0.3846
1,0.4808,0.5769
2,0.5577,0.4615
3,0.6731,0.3462
4,0.6731,0.3462
5,0.6923,0.3269
6,0.7115,0.3077
1,0.5385,0.5192
2,0.5192,0.5385
3,0.5962,0.4423
4,0.6923,0.3269
5,0.6731,0.3654
1,0.5,0.5577
2,0.5385,0.5192
3,0.6731,0.3654
