iter,TPR,SHD
1,0.1667,0.8636
2,0.2576,0.7727
3,0.2576,0.7576
4,0.2273,0.7727
5,0.2879,0.7121
1,0.2727,0.803
2,0.3485,0.6515
3,0.3333,0.6818
4,0.303,0.7121
5,0.303,0.697
1,0.2121,0.803
2,0.2879,0.7273
3,0.2879,0.7273
4,0.2879,0.7121
1,0.2273,0.8182
2,0.3485,0.6515
3,0.3333,0.6667
1,0.2576,0.7727
2,0.2727,0.7424
3,0.2879,0.7273
1,0.1818,0.8485
2,0.2879,0.7424
3,0.2576,0.7727
4,0.2576,0.7424
5,0.2879,0.7121
1,0.2576,0.803
2,0.3485,0.6818
3,0.3485,0.6667
1,0.2879,0.7727
2,0.3636,0.6667
3,0.3788,0.6364
4,0.3636,0.6515
5,0.3636,0.6515
1,0.303,0.7424
2,0.3636,0.6515
1,0.2879,0.7727
2,0.3788,0.6364
3,0.3636,0.6515
1,0.3182,0.7273
2,0.3636,0.6515
3,0.3939,0.6061
1,0.2727,0.7879
2,0.3636,0.6667
3,0.3636,0.6515
4,0.3788,0.6364
