d,s,r,alg,score,iter,LLM,time,extra,missing,reverse,shd,norm_shd,nnz,fdr,tpr,fpr,precision,recall,F1,gscore,exist_prior,forb_prior,uncertain_query,correct_query,wrong_query,exist_prior_wrong,forb_prior_wrong,ancs_prior,edge,correct,incorrect,normal,exist,forb
cancer,250,1,HC,bdeu,1,both,0.0027,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,1,softHC,bdeu,1,both,0.0029,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,1,hardMINOBSx,bdeu,1,both,0.0257,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,1,softMINOBSx,bdeu,1,both,0.0089,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,2,HC,bdeu,1,both,0.0031,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0
cancer,250,2,softHC,bdeu,1,both,0.0032,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0
cancer,250,2,hardMINOBSx,bdeu,1,both,0.0059,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0
cancer,250,2,softMINOBSx,bdeu,1,both,0.0068,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0
cancer,250,3,CaMML,mml,1,without,0.5169,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,2,0,0,0,0,2,1,1,2,0,0
cancer,250,3,CaMML,mml,2,with,0.4824,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,1,0,0,3,0,0,0,0,1,1,0,0,1,0
cancer,250,3,HC,bdeu,1,both,0.0031,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,3,softHC,bdeu,1,both,0.0031,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,3,hardMINOBSx,bdeu,1,both,0.0065,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,3,softMINOBSx,bdeu,1,both,0.0073,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,250,3,HC,bic,1,both,0.0021,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0
cancer,250,3,softHC,bic,1,both,0.0022,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,0,0,0,1,0,0,0,0,1,1,0,1,0,0
cancer,250,3,hardMINOBSx,bic,1,without,0.0063,0,3,1,4,1.0,1,1.0,0.0,0.1667,0.0,0.0,,0.0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
cancer,250,3,hardMINOBSx,bic,2,with,0.0058,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,1,0,0,2,0,0,0,0,1,1,0,0,1,0
cancer,250,3,softMINOBSx,bic,1,without,0.0078,0,3,1,4,1.0,1,1.0,0.0,0.1667,0.0,0.0,,0.0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
cancer,250,3,softMINOBSx,bic,2,with,0.008,0,3,0,3,0.75,1,0.0,0.25,0.0,1.0,0.25,0.4,0.25,1,0,0,2,0,0,0,0,1,1,0,0,1,0
cancer,250,4,HC,bdeu,1,without,0.0039,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,250,4,HC,bdeu,2,process,0.0033,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,2,0,0,6,0,0,0,0,3,2,1,2,1,0
cancer,250,4,HC,bdeu,3,with,0.0034,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,2,0,0,9,0,0,0,0,3,3,0,1,2,0
cancer,250,4,softHC,bdeu,1,without,0.0033,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,250,4,softHC,bdeu,2,process,0.0035,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,2,0,0,6,0,0,0,0,3,2,1,2,1,0
cancer,250,4,softHC,bdeu,3,with,0.0035,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,2,0,0,9,0,0,0,0,3,3,0,1,2,0
cancer,250,4,hardMINOBSx,bdeu,1,without,0.007,0,1,3,4,1.0,3,1.0,0.0,0.5,0.0,0.0,,0.0,2,0,0,2,1,0,0,0,3,0,3,3,0,0
cancer,250,4,hardMINOBSx,bdeu,2,with,0.0061,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,2,0,0,5,1,0,0,0,3,3,0,1,2,0
cancer,250,4,softMINOBSx,bdeu,1,without,0.0072,0,1,3,4,1.0,3,1.0,0.0,0.5,0.0,0.0,,0.0,2,0,0,2,1,0,0,0,3,0,3,3,0,0
cancer,250,4,softMINOBSx,bdeu,2,with,0.0072,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,2,0,0,5,1,0,0,0,3,3,0,1,2,0
cancer,250,5,HC,bdeu,1,without,0.0031,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,250,5,HC,bdeu,2,with,0.004,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,1,0,0,6,0,0,0,0,3,3,0,2,1,0
cancer,250,5,softHC,bdeu,1,without,0.0029,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,250,5,softHC,bdeu,2,with,0.0038,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,1,0,0,6,0,0,0,0,3,3,0,2,1,0
cancer,250,5,hardMINOBSx,bdeu,1,without,0.007,0,1,3,4,1.0,3,1.0,0.0,0.5,0.0,0.0,,0.0,2,0,0,2,1,0,0,0,3,0,3,3,0,0
